id,O3_anual_f
"5171",37.820261
"3337",37.820261
"4280",37.671950
"7494",37.671950
"3024",37.820261
"9272",37.671950
"640",37.671950
"5384",37.671950
"4955",37.820261
"7088",37.671950
"2609",37.820261
"1643",37.820261
"1024",37.820261
"975",39.195582
"3832",37.820261
"7827",39.195582
"8388",37.820261
"4183",39.195582
"132",37.820261
"9780",37.820261
"6396",37.820261
"2594",37.671950
"2260",36.260375
"5881",39.195582
"1651",36.260375
"1253",37.367037
"723",37.671950
"7829",37.820261
"9277",37.671950
"3550",37.367037
"4839",37.671950
"9410",37.820261
"2741",37.820261
"4574",37.671950
"4038",37.820261
"9253",37.367037
"8562",34.896737
"9552",37.367037
"384",36.260375
"4534",37.367037
"9283",37.820261
"2172",37.820261
"8040",39.195582
"8564",37.367037
"7991",37.367037
"9833",39.195582
"8536",39.195582
"4699",37.524501
"1980",37.671950
"4455",36.260375
"5994",39.195582
"9539",37.367037
"8953",37.671950
"7304",36.260375
"7736",39.195582
"589",37.671950
"5554",37.367037
"633",37.367037
"2306",39.170947
"1244",37.671950
"8247",37.367037
"7356",39.195582
"4897",37.524501
"1099",37.367037
"4405",39.195582
"6252",37.367037
"2343",34.235452
"6132",36.260375
"9653",36.260375
"4227",37.367037
"7006",39.195582
"9316",38.990823
"8122",39.170947
"3287",37.524501
"313",37.671950
"6971",39.195582
"314",34.896737
"5374",39.195582
"5460",39.170947
"8344",39.195582
"474",39.195582
"9032",36.005067
"9155",37.524501
"3526",34.896737
"5294",36.260375
"8461",37.671950
"2125",38.990823
"9185",37.524501
"1816",38.990823
"9721",37.367037
"1310",37.367037
"694",38.990823
"9729",39.170947
"5132",39.170947
"1061",38.990823
"8131",37.367037
"443",37.671950
"7193",37.671950
"5154",39.195582
"7708",37.524501
"9000",37.671950
"1694",36.005067
"3648",39.170947
"4069",39.170947
"3863",37.367037
"1325",36.005067
"2320",39.195582
"9312",36.005067
"4122",34.235452
"4734",39.195582
"4758",37.524501
"1125",34.235452
"7598",37.524501
"2573",37.367037
"8416",34.896737
"9144",34.896737
"4452",38.990823
"8146",38.990823
"4498",36.005067
"648",38.990823
"9200",36.260375
"9777",34.235452
"2169",38.990823
"7137",38.990823
"4459",38.990823
"9186",34.235452
"8121",39.195582
"6095",39.195582
"6585",37.367037
"4113",37.524501
"6011",39.170947
"4231",37.524501
"6618",36.260375
"1336",39.195582
"7764",36.005067
"7271",39.170947
"4883",39.195582
"6519",39.195582
"9746",37.367037
"764",39.170947
"162",38.990823
"2807",38.990823
"6611",39.195582
"1177",36.005067
"3160",37.524501
"5758",34.533739
"4461",36.005067
"6313",39.195582
"5157",39.195582
"479",39.195582
"3830",37.524501
"5924",37.671950
"2124",39.170947
"1614",34.235452
"5372",36.005067
"3886",37.524501
"1521",36.005067
"1850",36.005067
"8324",36.260375
"1922",34.896737
"7931",34.235452
"4874",34.235452
"7861",34.896737
"2441",36.005067
"2975",38.990823
"2604",37.524501
"2607",34.235452
"4094",34.896737
"3403",38.990823
"8541",39.195582
"6799",36.005067
"4330",36.005067
"2389",38.990823
"5493",38.990823
"1575",36.005067
"5990",34.896737
"7559",34.896737
"4951",34.896737
"7609",38.990823
"1393",36.005067
"1423",37.524501
"8612",37.524501
"2580",38.990823
"4118",34.533739
"7662",36.005067
"9045",38.990823
"5275",38.990823
"1514",38.990823
"8183",36.005067
"3587",39.195582
"8232",37.524501
"9133",36.260375
"354",38.990823
"6715",39.170947
"6584",36.005067
"3776",36.005067
"7916",39.195582
"7993",36.260375
"8571",36.005067
"2528",38.990823
"2901",34.896737
"5542",39.195582
"39",36.005067
"4827",34.235452
"4075",38.990823
"5075",36.260375
"1801",39.195582
"6287",34.533739
"5778",39.170947
"9717",39.170947
"9897",39.195582
"2761",38.990823
"4197",37.524501
"6428",37.524501
"5112",34.896737
"4706",38.990823
"2173",34.896737
"7879",38.990823
"8392",36.260375
"8201",38.990823
"7801",34.896737
"3603",36.005067
"7822",37.524501
"6334",39.195582
"7279",36.005067
"9462",37.524501
"489",34.235452
"2025",39.195582
"2011",37.524501
"6857",36.005067
"9982",36.005067
"2476",36.005067
"5098",36.005067
"940",36.005067
"6698",38.990823
"1572",38.990823
"8870",34.896737
"4481",34.235452
"7050",34.533739
"7739",34.533739
"3646",34.533739
"2627",38.990823
"3030",36.005067
"3856",36.005067
"1171",36.260375
"2801",40.205087
"7930",38.990823
"8234",38.990823
"9534",39.195582
"1216",34.896737
"6528",38.990823
"3786",38.990823
"5664",38.990823
"9853",38.990823
"1896",39.170947
"8096",34.896737
"818",38.990823
"7769",34.533739
"8591",34.533739
"9425",39.195582
"7984",33.825580
"5497",34.896737
"6615",37.524501
"6223",39.195582
"6315",36.260375
"3275",34.896737
"4469",39.487331
"3594",39.487331
"8948",39.487331
"2532",39.487331
"9803",35.462349
"6681",36.005067
"2541",34.533739
"3374",34.235452
"493",39.195582
"5342",38.990823
"7585",38.990823
"8158",39.487331
"5883",38.990823
"9075",36.005067
"4598",39.170947
"3440",36.005067
"5866",35.462349
"8434",39.170947
"6979",39.170947
"3039",34.533739
"9175",39.170947
"9304",38.495798
"7385",35.462349
"4030",36.005067
"5177",36.005067
"4796",37.524501
"7230",34.235452
"2496",35.462349
"9841",33.825580
"2153",39.195582
"7839",39.195582
"9289",39.170947
"6802",38.990823
"8268",39.487331
"103",34.896737
"3869",34.533739
"2910",39.195582
"6118",37.524501
"9373",39.487331
"2656",34.896737
"6191",36.005067
"9076",34.235452
"1378",38.990823
"260",39.487331
"4729",39.195582
"7543",35.462349
"9492",34.235452
"2527",34.896737
"3517",38.169824
"9556",36.005067
"704",39.487331
"6451",34.533739
"8239",36.260375
"171",34.896737
"2877",39.487331
"8465",38.495798
"9548",34.533739
"8577",38.990823
"6320",34.533739
"5213",36.005067
"6820",34.235452
"8641",39.170947
"9123",33.825580
"2424",35.462349
"6489",35.462349
"405",36.005067
"6474",38.990823
"1829",35.462349
"386",39.170947
"8229",34.896737
"8252",34.533739
"3653",34.533739
"949",36.005067
"3194",38.990823
"7115",38.990823
"9560",39.195582
"7554",39.378776
"9095",34.533739
"377",35.462349
"1745",38.460272
"2393",38.434017
"9488",33.825580
"5600",34.533739
"3964",38.990823
"7974",39.170947
"3713",34.533739
"3625",33.825580
"4258",34.533739
"7252",36.005067
"8734",38.460272
"5025",39.378776
"3590",35.462349
"2547",36.005067
"125",35.462349
"8758",35.462349
"6837",39.487331
"6865",34.533739
"6178",35.462349
"8724",36.260375
"575",33.825580
"1988",35.462349
"8036",35.462349
"7536",33.825580
"562",34.896737
"1353",35.462349
"7895",39.378776
"5042",38.495798
"6642",36.005067
"6811",39.378776
"6562",33.825580
"3937",33.825580
"2954",36.005067
"3635",35.462349
"422",39.378776
"737",38.460272
"4698",38.460272
"5466",33.825580
"8441",34.533739
"8058",36.005067
"3292",39.487331
"498",34.533739
"1435",38.990823
"3704",36.005067
"2118",39.005246
"9364",38.495798
"7964",39.487331
"1506",39.487331
"301",37.170252
"6019",36.260375
"8907",39.378776
"9382",39.378776
"5344",39.487331
"398",39.378776
"7757",35.462349
"1255",34.533739
"1709",36.005067
"8283",36.005067
"1034",33.825580
"5563",39.378776
"6414",39.378776
"7722",38.495798
"7051",39.378776
"3663",39.378776
"3711",39.378776
"8673",34.896737
"5549",36.005067
"2465",35.462349
"4132",39.378776
"9",34.533739
"1093",36.005067
"5743",37.170252
"4321",35.462349
"8031",36.005067
"2912",35.462349
"8587",34.533739
"7043",35.462349
"7921",39.378776
"1623",34.533739
"9764",34.533739
"3093",34.235452
"3144",39.378776
"951",39.510984
"4354",37.170252
"7197",35.462349
"2093",34.533739
"304",37.269706
"6280",35.462349
"6731",35.462349
"6008",39.378776
"1904",39.378776
"558",37.170252
"4465",37.822025
"5839",39.005246
"4016",39.378776
"5863",36.966273
"6423",34.283492
"8689",34.533739
"5728",35.462349
"9646",39.378776
"7520",39.378776
"7069",38.990823
"9962",37.822025
"4487",33.825580
"6982",39.378776
"5078",39.378776
"9260",35.462349
"2225",35.462349
"1201",39.378776
"7266",39.378776
"6440",39.378776
"464",33.825580
"906",34.533739
"9116",34.533739
"7180",34.533739
"6896",37.269706
"3600",37.269706
"7740",33.825580
"7584",34.235452
"2294",34.533739
"9197",34.283492
"9524",33.845505
"7319",37.170252
"2895",37.170252
"1905",39.378776
"2012",39.378776
"3421",38.495798
"4090",33.825580
"355",33.845505
"2166",37.170252
"9296",38.495798
"401",38.495798
"661",38.495798
"3399",35.462349
"4319",37.269706
"5956",36.966273
"6352",39.378776
"6739",39.378776
"3448",39.378776
"424",34.235452
"2611",35.462349
"4301",39.378776
"7208",39.378776
"7046",37.269706
"6758",35.095905
"3777",39.378776
"5898",33.845505
"6372",36.005067
"8639",35.095905
"1880",39.378776
"1261",36.005067
"9098",38.495798
"4557",39.378776
"9709",39.378776
"8132",35.095905
"7308",35.095905
"1727",39.378776
"644",36.005067
"7451",33.845505
"4622",36.005067
"2767",35.095905
"9829",38.495798
"18",39.378776
"6284",39.378776
"5110",39.378776
"1079",35.095905
"8117",39.378776
"599",37.098303
"4679",37.170252
"8678",33.845505
"3747",37.269706
"358",37.269706
"6238",37.170252
"2768",34.533739
"2179",35.095905
"5825",35.095905
"3822",33.845505
"8310",37.170252
"5740",39.378776
"6630",37.170252
"6262",35.095905
"6065",39.378776
"4454",39.378776
"885",37.269706
"6471",39.005246
"7021",39.378776
"4857",33.845505
"9834",39.378776
"9085",33.845505
"4647",39.378776
"4430",39.378776
"1286",35.462349
"69",34.235452
"7547",38.495798
"6518",35.462349
"8203",39.378776
"2200",33.845505
"3873",35.095905
"4193",33.845505
"8421",33.845505
"1124",38.495798
"4506",35.462349
"4587",39.378776
"8070",39.378776
"4324",39.378776
"1405",34.235452
"411",35.095905
"2483",38.495798
"655",33.845505
"4295",35.095905
"7441",38.495798
"4007",37.269706
"802",35.095905
"8102",39.378776
"3200",34.235452
"1955",37.170252
"4892",35.462349
"7395",33.845505
"9041",35.095905
"6682",39.378776
"9128",35.544100
"3985",38.495798
"1971",38.495798
"1737",39.378776
"1352",39.378776
"3087",34.235452
"1845",34.235452
"9265",37.170252
"1226",39.378776
"4727",39.378776
"5569",35.462349
"1017",39.378776
"385",35.095905
"5228",37.269706
"9723",39.378776
"3111",39.378776
"6415",37.269706
"1190",33.845505
"4155",37.269706
"9756",39.510984
"8364",37.269706
"5579",35.462349
"5473",33.845505
"1613",39.005246
"7498",35.095905
"2070",35.544100
"6219",33.845505
"4767",39.378776
"7939",33.845505
"5086",39.378776
"9351",38.495798
"6335",37.269706
"7535",35.095905
"3921",39.378776
"9456",39.378776
"7612",35.462349
"4162",35.095905
"2709",39.378776
"9293",37.170252
"8384",39.378776
"1028",33.845505
"6361",33.845505
"6400",39.005246
"3426",39.005246
"7734",39.005246
"1365",33.845505
"2596",39.378776
"5879",35.095905
"7855",35.462349
"4991",34.627916
"7506",38.495798
"1826",39.005246
"4170",35.462349
"289",35.095905
"9505",37.269706
"914",37.170252
"4261",37.170252
"4713",37.170252
"1861",39.378776
"19",39.378776
"1015",35.095905
"3299",38.495798
"54",34.235452
"3805",35.544100
"8358",39.378776
"3955",34.235452
"2342",35.462349
"8623",35.462349
"1581",33.845505
"6675",33.845505
"2724",38.495798
"735",38.495798
"7596",39.378776
"267",35.462349
"4831",35.095905
"8828",38.495798
"2760",34.235452
"2174",35.462349
"1615",39.378776
"2487",35.095905
"4303",33.845505
"845",39.378776
"9413",39.005246
"9125",35.095905
"2515",38.495798
"4008",39.378776
"3154",39.510984
"5895",39.005246
"9620",35.462349
"9867",35.462349
"9043",39.510984
"4067",35.095905
"8492",39.005246
"4098",39.378776
"652",39.378776
"4363",33.646697
"3104",33.845505
"1990",38.495798
"2521",38.495798
"2075",35.095905
"9741",38.495798
"180",38.495798
"6531",35.095905
"8799",35.462349
"4907",35.095905
"6003",33.845505
"8066",39.378776
"5149",39.378776
"3504",38.495798
"9360",33.845505
"6209",37.269706
"908",37.170252
"8484",35.095905
"646",35.095905
"1828",37.269706
"4872",35.095905
"987",39.510984
"2603",39.510984
"8227",40.291159
"531",39.378776
"744",39.378776
"6376",35.462349
"195",35.095905
"3627",35.095905
"8014",39.378776
"7515",33.845505
"9656",37.170252
"7116",35.544100
"7422",39.378776
"554",35.462349
"3664",35.462349
"665",37.921281
"3666",39.005246
"3417",35.462349
"1743",33.845505
"392",39.378776
"29",38.495798
"9821",38.495798
"5126",34.235452
"6645",39.378776
"7029",35.462349
"7982",33.845505
"8292",39.378776
"7122",39.378776
"6151",39.378776
"4837",35.462349
"1251",39.378776
"7428",35.095905
"2674",35.095905
"7211",39.510984
"3053",35.437714
"1172",37.921281
"172",33.845505
"9918",39.378776
"7001",33.845505
"1392",33.845505
"2120",35.095905
"5558",37.921281
"7666",37.921281
"7711",33.646697
"5984",39.378776
"6525",39.378776
"1689",39.378776
"5667",39.378776
"6983",37.269706
"8804",37.921281
"5133",33.845505
"5864",38.495798
"576",33.845505
"3161",36.483505
"7038",39.378776
"570",39.378776
"9168",36.633661
"7030",39.005246
"7815",39.378776
"8376",35.095905
"362",35.462349
"7453",35.095905
"746",35.095905
"5893",40.291159
"8010",34.235452
"4690",38.495798
"3091",33.845505
"8954",33.845505
"1592",35.095905
"4533",39.378776
"5293",39.378776
"7448",39.378776
"8736",38.692029
"3621",39.378776
"8011",35.095905
"5464",39.378776
"2354",34.235452
"2243",35.462349
"6057",35.462349
"5310",33.845505
"8854",37.921281
"6553",38.495798
"2753",39.005246
"1556",37.921281
"6773",38.495798
"9984",38.692029
"4327",36.633661
"6914",36.305947
"7719",35.095905
"5200",33.845505
"482",35.437714
"5573",34.620550
"1699",35.095905
"907",39.005246
"7709",38.495798
"8744",38.692029
"3907",35.544100
"3497",35.437714
"1223",38.692029
"5615",38.692029
"5266",35.095905
"7613",36.633661
"6249",33.845505
"1044",39.378776
"8935",37.921281
"5173",39.005246
"1886",39.378776
"5108",34.698950
"1697",34.698950
"1343",34.235452
"2681",34.235452
"9084",35.462349
"3001",38.692029
"9340",33.845505
"5242",36.633661
"6359",34.230534
"9397",35.462349
"6407",33.845505
"611",38.692029
"5942",39.068595
"7656",37.921281
"6180",37.921281
"1760",38.692029
"1254",38.692029
"5684",33.704571
"4974",39.378776
"696",38.692029
"372",35.437714
"8706",34.620550
"7776",35.095905
"3962",38.692029
"1104",33.845505
"2570",35.095905
"3152",39.510984
"5737",37.921281
"4449",38.692029
"6550",35.095905
"770",33.845505
"2548",39.005246
"3007",38.692029
"918",35.095905
"7364",35.095905
"7953",35.544100
"6646",33.704571
"9073",35.462349
"3953",39.005246
"3027",33.845505
"6735",39.005246
"6928",34.235452
"9594",35.095905
"4325",36.483505
"2209",38.692029
"9424",38.495798
"9922",38.692029
"163",34.620550
"2423",35.095905
"7804",38.495798
"9067",36.483505
"6404",36.633661
"1580",33.845505
"5739",35.544100
"5858",34.620550
"7876",38.692029
"4516",37.921281
"8266",35.095905
"3277",33.845505
"7144",36.957522
"6870",38.692029
"1937",38.692029
"5030",35.437714
"4659",38.692029
"8026",35.095905
"8757",33.845505
"7917",38.495798
"4336",38.495798
"5790",38.495798
"6468",33.845505
"7109",34.235452
"2812",34.433210
"9506",36.957522
"5833",33.845505
"3159",35.095905
"8997",34.620550
"8204",33.845505
"2409",33.704571
"3431",39.510984
"6356",39.510984
"7299",35.095905
"6767",37.921281
"5443",37.921281
"7914",37.921281
"2361",38.495798
"4804",37.921281
"8851",34.433210
"3853",38.692029
"266",38.692029
"9927",38.692029
"3541",38.692029
"5492",36.633661
"1793",34.230534
"5781",38.692029
"1858",38.692029
"5001",33.845505
"6796",38.495798
"2347",38.495798
"7901",33.704571
"8995",35.095905
"1016",38.692029
"6297",38.692029
"1900",38.692029
"7212",35.095905
"1089",37.921281
"3459",33.704571
"5007",38.692029
"3371",35.095905
"9593",35.095905
"2678",38.692029
"6911",38.692029
"4626",33.085381
"2502",39.005246
"4741",38.495798
"1312",34.620550
"5143",39.005246
"6727",35.095905
"5298",33.704571
"8778",35.095905
"7303",36.957522
"8098",36.633661
"6556",34.433210
"6048",34.230534
"3422",34.230534
"9490",35.095905
"7519",33.845505
"1150",39.005246
"9879",33.704571
"9758",34.433210
"2900",34.433210
"7340",37.921281
"8220",38.692029
"4060",33.845505
"7814",36.633661
"2038",35.095905
"9403",38.692029
"8857",36.633661
"8952",37.921281
"3235",37.921281
"1169",34.230534
"7868",39.068595
"6060",37.921281
"9635",38.692029
"7816",33.704571
"6736",34.230534
"8941",34.433210
"437",38.692029
"4799",36.957522
"361",37.921281
"9650",35.095905
"4505",34.433210
"5847",38.495798
"3575",34.230534
"5873",38.495798
"6918",33.085381
"9533",33.085381
"9910",38.692029
"3986",33.085381
"7664",34.433210
"6532",38.692029
"5199",35.095905
"1377",35.095905
"6254",35.084715
"8420",33.845505
"9677",35.095905
"4592",38.692029
"2602",38.692029
"9796",37.815855
"4116",33.845505
"9225",38.692029
"7750",38.692029
"4395",38.495798
"5828",36.302130
"3445",36.302130
"5823",36.482254
"641",38.692029
"6608",38.692029
"5505",33.898148
"276",35.801932
"7123",37.000926
"9929",38.692029
"6760",39.068595
"5555",38.692029
"8202",39.005246
"4399",33.898148
"5295",33.898148
"1354",38.692029
"7793",37.282700
"9857",36.426409
"5380",35.801932
"6496",35.801932
"5135",38.203259
"5775",38.203259
"3703",38.692029
"9011",33.085381
"3676",33.085381
"8833",33.085381
"6158",33.085381
"9654",36.302130
"783",38.692029
"4221",38.692029
"8315",34.433210
"6037",35.084715
"64",38.692029
"3010",33.085381
"6968",33.704571
"4043",37.000926
"3634",36.426409
"957",38.692029
"9813",33.898148
"9761",38.203259
"9137",37.815855
"2196",34.433210
"5223",33.845505
"3188",34.433210
"8015",33.898148
"8750",38.692029
"3129",39.068595
"8359",32.268928
"6988",36.426409
"8298",36.426409
"3023",33.085381
"812",36.302130
"3859",38.692029
"7940",38.692029
"862",36.302130
"7485",37.815855
"9658",33.085381
"7803",33.085381
"1332",36.712090
"4621",34.720879
"574",35.524991
"1815",36.302130
"6447",36.712090
"1491",36.426409
"817",36.712090
"3356",35.046181
"3351",33.898148
"5249",38.692029
"5704",37.000926
"391",33.085381
"4660",36.644627
"9831",36.644627
"1604",38.692029
"9553",35.801932
"37",36.712090
"5541",33.085381
"4865",38.692029
"9302",36.712090
"6884",38.692029
"8646",36.302130
