X,Y,CVE_AGEB,CVE_MUN,CVE_LOC,CVE_ENT,MOVEMENT_ID,DISPLAY_NAME
-99.1681051835468,19.360244528835,"0967","014","0001","09","4550",Movement Zone 4550
-99.1677013565787,19.3980101491828,"0045","014","0001","09","4551",Movement Zone 4551
-99.1618017151605,19.3613694890059,"0971","014","0001","09","4553",Movement Zone 4553
-99.1745058501712,19.3946362084185,"0219","014","0001","09","4563",Movement Zone 4563
-99.1841825164285,19.3944651174964,"0187","014","0001","09","4566",Movement Zone 4566
-99.1745227604989,19.3635101837996,"0933","014","0001","09","4568",Movement Zone 4568
-99.1567655218959,19.360523366734,"0986","014","0001","09","4569",Movement Zone 4569
-99.1761566201212,19.3962199358975,"0204","014","0001","09","4579",Movement Zone 4579
-99.1588238124436,19.4011465000852,"0011","014","0001","09","4580",Movement Zone 4580
-99.162818125557,19.3991351258735,005A,"014","0001","09","4583",Movement Zone 4583
-99.1643217634496,19.3691005997479,"0825","014","0001","09","4587",Movement Zone 4587
-99.1736683185192,19.3834180693864,"0581","014","0001","09","4589",Movement Zone 4589
-99.1829043504077,19.3812711841713,"0562","014","0001","09","4590",Movement Zone 4590
-99.1863570575688,19.3833787672568,"0558","014","0001","09","4593",Movement Zone 4593
-99.1830744050524,19.3721550700445,"0793","014","0001","09","4597",Movement Zone 4597
-99.1841764834233,19.3866511414194,"0365","014","0001","09","4598",Movement Zone 4598
-99.1617482559958,19.3692714191377,083A,"014","0001","09","4599",Movement Zone 4599
-99.1585245920631,19.3851008864901,"0420","014","0001","09","4603",Movement Zone 4603
-99.1799162855945,19.3917819665369,"0191","014","0001","09","4604",Movement Zone 4604
-99.172201350817,19.3806631262141,"0596","014","0001","09","4605",Movement Zone 4605
-99.1680082968004,19.3803047150881,"0609","014","0001","09","4606",Movement Zone 4606
-99.1627532789335,19.379013700944,"0613","014","0001","09","4607",Movement Zone 4607
-99.1713585943696,19.3631268924592,"0948","014","0001","09","4609",Movement Zone 4609
-99.1587067971376,19.3663990763985,"0844","014","0001","09","4612",Movement Zone 4612
-99.1835573139373,19.3901409052017,"0350","014","0001","09","4614",Movement Zone 4614
-99.1757462061007,19.389463053809,"0384","014","0001","09","4615",Movement Zone 4615
-99.1707415189282,19.3874383998503,"0399","014","0001","09","4616",Movement Zone 4616
-99.1825413042999,19.3759573075649,"0702","014","0001","09","4618",Movement Zone 4618
-99.1602131646273,19.3915552170045,"0257","014","0001","09","4619",Movement Zone 4619
-99.1653586268525,19.3740924570282,"0755","014","0001","09","4622",Movement Zone 4622
-99.1794261648084,19.3867744615795,037A,"014","0001","09","4623",Movement Zone 4623
-99.1644867182098,19.3943362616899,"0242","014","0001","09","4625",Movement Zone 4625
-99.1577077906501,19.3978108747492,"0064","014","0001","09","4626",Movement Zone 4626
-99.1788252623582,19.3813824588967,"0577","014","0001","09","4630",Movement Zone 4630
-99.1660557249276,19.3629626046782,"0952","014","0001","09","4635",Movement Zone 4635
-99.1692843498554,19.375164776679,"0740","014","0001","09","4637",Movement Zone 4637
-99.1666167993859,19.386188477606,"0401","014","0001","09","4638",Movement Zone 4638
-99.1626261681605,19.3846467014799,"0416","014","0001","09","4639",Movement Zone 4639
-99.1740173093923,19.3768643588976,"0721","014","0001","09","4643",Movement Zone 4643
-99.1729591742317,19.3721034733094,"0736","014","0001","09","4644",Movement Zone 4644
-99.1595009546625,19.3740297226556,076A,"014","0001","09","4645",Movement Zone 4645
-99.1759390698373,19.370594829917,"0806","014","0001","09","4647",Movement Zone 4647
-99.1695951006529,19.3678983661641,"0810","014","0001","09","4648",Movement Zone 4648
