ID,Nombre,Dirección,Número,Código po,districtCo,Colonia,altitude,nearbyStat,location/l,location_1,Tipo de es,nearbySt_1,nearbySt_2,nearbySt_3,nearbySt_4,nearbySt_5,punto_geo,CVE_AGEB,CVE_MUN,CVE_LOC,CVE_ENT,MOVEMENT_I,DISPLAY_NA
"440",440 REAL DE MAYORAZGO-PUENTE XOCO,440 - Real De Mayorazgo-Puente Xoco,S/N,"3330","1",Ampliación Granada,,"433",19.360650000000000,-99.168668999999994,BIKE,"439","441",,,,"19.36065,-99.168669","0967","014","0001","09","4550",Movement Zone 4550
"283",283 AV. COYOACÁN-RAFAEL DONDE,283 - Av. Coyoacán-Rafael Donde,S/N,"3103","1",Ampliación Granada,,"279",19.398270000000000,-99.167383000000001,BIKE,"292","293",,,,"19.39827,-99.167383","0045","014","0001","09","4551",Movement Zone 4551
"279",279 LA MORENA-PROVIDENCIA,279 - La Morena-Providencia,S/N,"3103",DVN,Del Valle Norte,,"164",19.399908000000000,-99.166552999999993,BIKE,"278","282",,,,"19.399908,-99.166553","0045","014","0001","09","4551",Movement Zone 4551
"443",443 BRUNO TRAVEN-GOLONDRINAS,443 - Bruno Trave-Avenida México-Coyoacan,S/N,"3340","1",Ampliación Granada,,"432",19.359655000000000,-99.162025000000000,BIKE,"442","444",,,,"19.359655,-99.162025","0971","014","0001","09","4553",Movement Zone 4553
"432",432 CARRILLO PUERTO-AV. MÉXICO-COYOACÁN,432 - Carrillo Pto-Golondrinas,S/N,"3340",GPM,General Pedro Maria Anaya,,"442",19.361295999999999,-99.162581000000003,BIKE,"443","444",,,,"19.361296,-99.162581","0971","014","0001","09","4553",Movement Zone 4553
"428",428 PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8),428 - Prolongación Uxmal-Av. Popocatepetl (Eje 8),S/N,"3340",GPM,General Pedro Maria Anaya,,"427",19.363417999999999,-99.160353000000001,BIKE,"430","431",,,,"19.363418,-99.160353","0971","014","0001","09","4553",Movement Zone 4553
"303",303 MONTESITO-AV. INSURGENTES,303 - Montesito-Av. Insurgentes,S/N,"3810",NAP,Nápoles,,"301",19.394842000000001,-99.173024999999996,"BIKE,TPV","302","304",,,,"19.394842,-99.173025","0219","014","0001","09","4563",Movement Zone 4563
"308",308 NUEVA YORK-ARIZONA,308 - Nueva York-Arizona,S/N,"3810","1",Ampliación Granada,,"306",19.393594000000000,-99.178072000000000,BIKE,"307","309",,,,"19.393594,-99.178072","0219","014","0001","09","4563",Movement Zone 4563
"304",304 MONTESITO-DAKOTA,304 - Montesito-Dakota,S/N,"3810",NAP,Nápoles,,"290",19.395043000000001,-99.173821000000004,BIKE,"303","305",,,,"19.395043,-99.173821","0219","014","0001","09","4563",Movement Zone 4563
"314",314 NUERVA YORK-LOUISIANA,314 - Nuerva York-Louisiana,S/N,"3810",NAP,Nápoles,,"307",19.391646999999999,-99.177330999999995,BIKE,"313","327",,,,"19.391647,-99.177331","0219","014","0001","09","4563",Movement Zone 4563
