ID,Nombre,Dirección,Número,Código postal,location/lat,location/lon,Tipo de estación,punto_geo,cvegeo
109,109 NEZAHUALCOYOTL-ISABEL LA CATOLICA,109 - Nezahualcóyotl-Isabel la Católica,S/N,6500,19.425311,-99.137421,BIKE,"19.425311,-99.137421",0901500010964
102,102 ECHEVESTE-BOLIVAR,102 - Echeveste-Bolivar,S/N,,19.42821,-99.13949,BIKE,"19.42821,-99.13949",090150001088A
414,414 PARROQUIA-JOSÉ IGNACIO BARTOLACHE,414 - Parroquia-José Ignacio Bartolache,S/N,3104,19.370187,-99.173712,BIKE,"19.370187,-99.173712",0901400010806
416,416 RECREO-PARROQUÍA,416 - Recreo-Parroquía,S/N,3104,19.371308,-99.177607,BIKE,"19.371308,-99.177607",0901400010806
415,415 SAN FRANCISCO-PARROQUÍA,415 - San Francisco-Parroquía,S/N,3104,19.371498,-99.17602,BIKE,"19.371498,-99.17602",0901400010806
350,350 JOSE CLEMENTE OROZCO-CORREGGIO,350 - Jose Clemente Orozco-Correggio,S/N,3710,19.384062,-99.181482,BIKE,"19.384062,-99.181482",0901400010562
363,363 HOLBEIN-PAULO UCELLO,363 - Holbein-Paulo Ucello,S/N,3710,19.380813,-99.183851,BIKE,"19.380813,-99.183851",0901400010562
392,392 PATRICIO SANZ-FELIX CUEVAS,392 - Patricio Sanz-Felix Cuevas,S/N,3200,19.3730067,-99.1747749,BIKE,"19.3730067,-99.1747749",0901400010736
395,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,395 - San Lorenzo-Callejón Martín Menlalde,S/N,3104,19.373742,-99.169814,BIKE,"19.373742,-99.169814",0901400010736
394,394 DR. ROBERTO GAYOL-FELIX CUEVAS,394 - Dr. Roberto Gayol-Felix Cuevas,S/N,3104,19.372437,-99.171592,BIKE,"19.372437,-99.171592",0901400010736
413,413 PARROQUIA-AVENIDA COYOACÁN,413 - Parroquia-Avenida Coyoacán,S/N,3104,19.369782,-99.171906,BIKE,"19.369782,-99.171906",0901400010736
393,393 ADOLFO PRIETO-FELIX CUEVAS,393 - Adolfo Prieto-Felix Cuevas,S/N,3200,19.372796,-99.172558,"BIKE,TPV","19.372796,-99.172558",0901400010736
398,398 SANCHEZ AZCONA-FELIX CUEVAS,398 - Sanchez Azcona-Felix Cuevas,S/N,3104,19.37103,-99.16566,BIKE,"19.37103,-99.16566",0901400010755
397,397 SAN LORENZO-GABRIEL MANCERA,397 - San Lorenzo-Gabriel Mancera,S/N,3104,19.373194,-99.167247,BIKE,"19.373194,-99.167247",0901400010755
399,399 HERIBERTO FRÍAS-SAN LORENZO,399 - Heriberto Frías-San Lorenzo,S/N,3104,19.372407,-99.164519,BIKE,"19.372407,-99.164519",0901400010755
400,400 SAN LORENZO-HERIBERTO FRIAS,400 - San Lorenzo-Heriberto Frias,S/N,3104,19.3726458,-99.1642743,BIKE,"19.3726458,-99.1642743",0901400010755
374,374 PITÁGORAS-PILARES,374 - Anaxágoras-Pilares,S/N,3100,19.376964,-99.161116,"BIKE,TPV","19.376964,-99.161116",0901400010613
360,E360 HERIBERTO FRÍAS-MATIAS ROMERO,360 - Heriberto Frías-Matias Romero,S/N,3100,19.3790279,-99.1628259,ELECTRIC_BIKE,"19.3790279,-99.1628259",0901400010613
359,359 MATIAS ROMERO -PESTALLOZZI,359 - Matias Romero -Pestallozzi,S/N,3100,19.379269,-99.161169,"BIKE,TPV","19.379269,-99.161169",0901400010613
377,377 HERIBERTO FRÍAS-MIGUEL LAURENT,377 - Heriberto Frías-Miguel Laurent,S/N,3104,19.375394,-99.16375,BIKE,"19.375394,-99.16375",0901400010613
358,358 NICOLAS SAN JUAN-MATIAS ROMERO,358 - Nicolas San Juan-Matias Romero,S/N,3100,19.380168,-99.164222,BIKE,"19.380168,-99.164222",0901400010613
163,163 TOLUCA-BAJÍO,163 - Toluca-Bajío,S/N,,19.405246,-99.156431,BIKE,"19.405246,-99.156431",0901500011479
371,371 TLACOQUEMECATL-CAPULIN,371 - Tlacoquemecatl-Capulin,S/N,3200,19.378542,-99.174328,BIKE,"19.378542,-99.174328",0901400010721
380,380 MORAS-SAN LORENZO,380 - Moras-San Lorenzo,S/N,3200,19.374876,-99.173512,BIKE,"19.374876,-99.173512",0901400010721
36,36 PUEBLA-VERACRUZ,036 - Puebla - Veracruz,S/N,6140,19.419725,-99.175778,"BIKE,TPV","19.419725,-99.175778",0901500011089
38,38 COZUMEL-PUEBLA,038 - Cozumel - PUEBLA,S/N,6700,19.420801,-99.171407,BIKE,"19.420801,-99.171407",0901500011089
37,37 GUADALAJARA-PUEBLA,037 - Guadalajara - Puebla,S/N,6700,19.420419,-99.172676,BIKE,"19.420419,-99.172676",0901500011089
449,E449 ACAPULCO-PUEBLA,449 ACAPULCO-PUEBLA,S/N,,19.42018,-99.174393,ELECTRIC_BIKE,"19.42018,-99.174393",0901500011089
406,406 PARROQUIA AV. MEXICO-COYOACAN,406 - Parroquia Av. Mexico-Coyoacan,S/N,3310,19.367831,-99.163261,BIKE,"19.367831,-99.163261",090140001083A
401,401 SAN LORENZO-AVENIDA CUAUHTEMOC,401 - San Lorenzo-Avenida Cuauhtemoc,S/N,3310,19.372147,-99.16158,BIKE,"19.372147,-99.16158",090140001083A
427,427 AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE,427 - Avenida México-Coyoacan-Av. Popocatepetl (Eje,S/N,3310,19.365023,-99.162993,BIKE,"19.365023,-99.162993",090140001083A
441,441 PUENTE XOCO-REAL DE MAYORAZGO,441 - Puente Xoco-Real De Mayorazgo,S/N,3330,19.361215,-99.167527,BIKE,"19.361215,-99.167527",0901400010952
442,442 REAL DE MAYORAZGO-AVENIDA MÉXICO-COYOACAN,442 - Real De Mayorazgo-Avenida México-Coyoacan,S/N,3330,19.359905,-99.1653,"BIKE,TPV","19.359905,-99.1653",0901400010952
426,426 CERRADA DE POPOCATEPETL-AV. POPOCATEPETL (EJE,426 - Cerrada De Popocatepetl-Av. Popocatepetl (Eje,S/N,3330,19.365519,-99.166017,BIKE,"19.365519,-99.166017",0901400010952
343,343 ENRIQUE RÉBSAMEN-DIVISIÓN DEL NORTE,343 - Enrique Rébsamen-División Del Norte,S/N,3100,19.384099,-99.160826,BIKE,"19.384099,-99.160826",0901400010416
338,338 NICOLAS SAN JUAN-SAN BORJA,338 - Nicolas San Juan-San Borja,S/N,3100,19.384249,-99.163273,BIKE,"19.384249,-99.163273",0901400010416
344,344 HERIBERTO FRÍAS-ANGEL URRAZA EJE 6 SUR,344 - Heriberto Frías-Angel Urraza Eje 6 Sur,S/N,3100,19.382107,-99.162243,BIKE,"19.382107,-99.162243",0901400010416
349,349 AUGUSTO RODIN-AVENIDA SAN ANTONIO,349 - Augusto Rodin-Avenida San Antonio,S/N,3840,19.385688,-99.180857,BIKE,"19.385688,-99.180857",090140001037A
379,379 DR. ROBERTO GAYOL-MIGUEL LAURENT,379 - Dr. Roberto Gayol-Miguel Laurent,S/N,3104,19.375751,-99.17084,BIKE,"19.375751,-99.17084",0901400010740
378,378 MIGUEL LAURENT-AMORES,378 - Miguel Laurent-Amores,S/N,3104,19.375823,-99.168076,BIKE,"19.375823,-99.168076",0901400010740
372,372 DR. ROBERTO GAYOL-TLACOQUEMECATL,372 - Dr. Roberto Gayol-Tlacoquemecatl,S/N,3104,19.37797,-99.170289,"BIKE,TPV","19.37797,-99.170289",0901400010740
440,440 REAL DE MAYORAZGO-PUENTE XOCO,440 - Real De Mayorazgo-Puente Xoco,S/N,3330,19.36065,-99.168669,BIKE,"19.36065,-99.168669",0901400010967
254,254 ALFONSO HERRERA-MIGUEL SHULTZ,254 - Alfonso Herrera-Miguel Shultz,S/N,,19.43935,-99.16007,BIKE,"19.43935,-99.16007",0901500010697
86,86 SULLIVAN-INSURGENTES,086 - Sullivan-Insurgentes,S/N,6470,19.432378,-99.159077,"BIKE,TPV","19.432378,-99.159077",0901500010697
263,263 SADI CARNOT-GÓMEZ FARIAS,263 - Sadi Carnot - Gómez Farias,S/N,,19.436274,-99.158425,"BIKE,TPV","19.436274,-99.158425",0901500010697
