,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
274431,1093,1426,9,2308.88,464.96,2266.58,1.21
286998,1226,1322,0,875.6,946.56,639.82,1.99
303625,1534,1430,1,103.86,167.73,74.55,1.91
316539,1106,1093,5,424.84,197.97,398.12,1.4
321155,1534,1375,4,195.4,209.84,163.43,1.59
370248,1175,1426,15,2130.4,684.19,2037.92,1.34
373767,1375,1534,1,189.71,160.81,174.83,1.38
375808,1375,1479,4,614.12,436.79,546.49,1.52
379481,1375,1426,23,218.51,176.25,201.42,1.37
386132,1160,1175,23,1989.25,846.62,1762.76,1.72
437038,1411,1426,3,715.54,319.49,676.48,1.34
437823,1375,1160,7,1437.55,241.81,1416.49,1.19
476974,1375,1430,2,269.36,339.16,196.63,2.0
498851,1375,1002,12,2850.62,315.25,2833.06,1.12
503598,1207,1226,19,1172.38,303.26,1131.94,1.31
535481,1426,1464,17,1381.67,184.89,1369.42,1.14
563278,1197,1322,16,767.45,408.91,686.31,1.56
640897,1106,1110,20,1297.36,763.25,1178.19,1.46
794651,1375,1175,20,1463.18,426.84,1413.12,1.29
833475,1322,1197,19,724.67,303.19,672.65,1.45
844425,1479,1430,22,860.43,320.02,803.79,1.52
12540,1534,1426,7,24.77,82.7,11.21,2.48
19525,1197,1303,23,766.59,353.6,714.85,1.41
33178,1207,1322,1,630.46,232.84,593.85,1.4
37944,1411,1175,0,726.27,225.21,701.83,1.28
57797,1322,1197,20,767.27,376.65,693.96,1.55
60678,1479,1430,23,918.23,380.18,857.17,1.43
70183,1375,1175,21,1318.23,341.38,1282.4,1.26
100049,1207,1322,2,618.39,225.3,584.51,1.39
108633,1534,1426,8,24.21,78.85,11.32,2.49
117607,1411,1175,1,792.28,287.89,755.63,1.33
174600,1411,1175,2,784.34,252.03,753.66,1.31
176896,1322,1197,21,714.76,370.86,620.85,1.9
208326,1534,1426,9,23.86,113.06,11.09,2.37
