"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4715","Movement Zone 4715","3","Movement Zone 3","6/1/2019 - 6/30/2019, Every day, Daily Average",2897,2100,3994
"4715","Movement Zone 4715","17","Movement Zone 17","6/1/2019 - 6/30/2019, Every day, Daily Average",3341,2437,4579
"4715","Movement Zone 4715","24","Movement Zone 24","6/1/2019 - 6/30/2019, Every day, Daily Average",3039,2181,4233
"4715","Movement Zone 4715","39","Movement Zone 39","6/1/2019 - 6/30/2019, Every day, Daily Average",2506,1890,3321
"4715","Movement Zone 4715","40","Movement Zone 40","6/1/2019 - 6/30/2019, Every day, Daily Average",3485,2697,4502
"4715","Movement Zone 4715","42","Movement Zone 42","6/1/2019 - 6/30/2019, Every day, Daily Average",3256,2440,4343
"4715","Movement Zone 4715","54","Movement Zone 54","6/1/2019 - 6/30/2019, Every day, Daily Average",3055,2390,3903
"4715","Movement Zone 4715","70","Movement Zone 70","6/1/2019 - 6/30/2019, Every day, Daily Average",2918,2028,4197
"4715","Movement Zone 4715","76","Movement Zone 76","6/1/2019 - 6/30/2019, Every day, Daily Average",3226,2430,4281
"4715","Movement Zone 4715","79","Movement Zone 79","6/1/2019 - 6/30/2019, Every day, Daily Average",3521,2718,4560
"4715","Movement Zone 4715","83","Movement Zone 83","6/1/2019 - 6/30/2019, Every day, Daily Average",2458,1831,3299
"4715","Movement Zone 4715","96","Movement Zone 96","6/1/2019 - 6/30/2019, Every day, Daily Average",2359,1749,3179
"4715","Movement Zone 4715","97","Movement Zone 97","6/1/2019 - 6/30/2019, Every day, Daily Average",2226,1617,3062
"4715","Movement Zone 4715","98","Movement Zone 98","6/1/2019 - 6/30/2019, Every day, Daily Average",2786,2193,3538
"4715","Movement Zone 4715","99","Movement Zone 99","6/1/2019 - 6/30/2019, Every day, Daily Average",2390,1735,3290
"4715","Movement Zone 4715","102","Movement Zone 102","6/1/2019 - 6/30/2019, Every day, Daily Average",2775,2149,3582
"4715","Movement Zone 4715","103","Movement Zone 103","6/1/2019 - 6/30/2019, Every day, Daily Average",2441,1802,3304
"4715","Movement Zone 4715","104","Movement Zone 104","6/1/2019 - 6/30/2019, Every day, Daily Average",2996,2359,3803
"4715","Movement Zone 4715","108","Movement Zone 108","6/1/2019 - 6/30/2019, Every day, Daily Average",2591,1955,3433
"4715","Movement Zone 4715","111","Movement Zone 111","6/1/2019 - 6/30/2019, Every day, Daily Average",2813,2215,3571
"4715","Movement Zone 4715","116","Movement Zone 116","6/1/2019 - 6/30/2019, Every day, Daily Average",2647,2122,3300
"4715","Movement Zone 4715","130","Movement Zone 130","6/1/2019 - 6/30/2019, Every day, Daily Average",2289,1849,2832
"4715","Movement Zone 4715","132","Movement Zone 132","6/1/2019 - 6/30/2019, Every day, Daily Average",2589,1965,3410
"4715","Movement Zone 4715","133","Movement Zone 133","6/1/2019 - 6/30/2019, Every day, Daily Average",2451,1946,3085
"4715","Movement Zone 4715","140","Movement Zone 140","6/1/2019 - 6/30/2019, Every day, Daily Average",2784,2223,3485
