"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"06/01/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",656,451,953,,,,658,468,924,679,519,888,666,438,1014,577,353,945
"06/02/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",567,400,805,,,,,,,561,463,681,624,354,1100,587,405,850
"06/03/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",787,515,1203,1077,835,1388,726,617,853,722,446,1170,690,479,993,667,500,889
"06/04/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",781,549,1111,955,736,1240,,,,729,517,1028,757,569,1007,,,
"06/05/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",967,579,1612,925,683,1254,1470,850,2542,757,571,1004,1029,649,1630,427,328,556
"06/06/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",1114,685,1811,1121,810,1550,1036,702,1529,1008,609,1669,1336,846,2111,642,390,1054
"06/07/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",1077,609,1904,832,453,1529,1728,1175,2541,867,630,1193,1087,668,1769,,,
"06/08/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",727,480,1099,,,,667,475,938,916,555,1511,650,539,783,660,431,1010
"06/09/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",577,397,838,,,,575,422,782,463,379,566,672,384,1176,580,434,776
"06/10/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",876,568,1351,777,671,899,1074,632,1822,736,562,963,1036,642,1671,763,412,1413
"06/11/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",783,523,1172,724,526,997,736,515,1054,849,581,1239,776,602,1002,735,360,1500
"06/12/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",752,542,1043,910,691,1199,705,558,891,825,595,1146,671,481,936,,,
"06/13/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",948,555,1620,853,590,1233,961,495,1863,1042,540,2011,935,637,1373,,,
"06/14/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",1106,651,1880,1429,719,2840,1348,1017,1786,1172,688,1997,905,598,1370,582,396,857
"06/15/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",797,514,1236,,,,933,572,1521,1029,647,1637,655,474,903,696,481,1006
"06/16/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",659,434,1000,,,,531,379,743,758,468,1226,704,515,962,573,400,820
"06/17/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",831,503,1371,749,644,870,934,542,1608,672,532,849,1120,553,2270,,,
"06/18/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",884,615,1271,848,644,1116,1427,1095,1860,819,597,1125,881,608,1275,,,
"06/19/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",816,548,1216,764,613,951,918,662,1273,824,520,1307,874,623,1226,,,
"06/20/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",1089,604,1965,863,673,1105,903,678,1202,958,569,1613,1376,659,2874,,,
"06/21/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",1048,652,1683,1179,861,1612,1465,1053,2039,888,586,1346,1034,677,1579,747,444,1256
"06/22/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",783,488,1256,,,,,,,1150,611,2165,673,494,915,622,443,873
"06/23/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",737,435,1249,,,,892,522,1524,826,509,1341,501,375,668,750,425,1320
"06/24/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",843,593,1198,915,640,1309,974,657,1444,740,538,1017,878,630,1224,,,
"06/25/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",756,517,1106,721,587,885,905,590,1389,784,511,1203,633,497,807,,,
"06/26/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",868,577,1306,819,603,1111,1055,702,1586,891,632,1255,995,697,1421,513,353,744
"06/27/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",846,495,1447,781,616,990,915,682,1228,785,588,1048,1133,586,2190,493,192,1261
"06/28/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",980,623,1541,721,532,976,1157,895,1497,1023,622,1683,1107,723,1694,598,429,834
"06/29/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",973,616,1536,,,,1046,769,1424,1808,1150,2842,896,714,1125,598,430,831
"06/30/2019","4715","Movement Zone 4715","4801","Movement Zone 4801",684,460,1015,,,,826,523,1303,739,486,1124,488,385,618,686,482,978
