id,lat,lon,name,cvegeo,pob_2010,imu2010,gmu2010
109,19.425311,-99.137421,109 NEZAHUALCOYOTL-ISABEL LA CATOLICA,0901500010964,3446,-0.599417176873837,Medio
102,19.42821,-99.13949,102 ECHEVESTE-BOLIVAR,090150001088A,2228,-0.749624151314995,Bajo
414,19.370187,-99.173712,414 PARROQUIA-JOSÉ IGNACIO BARTOLACHE,0901400010806,4885,-1.253430550090670,Muy bajo
415,19.371498,-99.17602,415 SAN FRANCISCO-PARROQUÍA,0901400010806,4885,-1.253430550090670,Muy bajo
416,19.371308,-99.177607,416 RECREO-PARROQUÍA,0901400010806,4885,-1.253430550090670,Muy bajo
350,19.384062,-99.181482,350 JOSE CLEMENTE OROZCO-CORREGGIO,0901400010562,3293,-1.298516052389030,Muy bajo
363,19.380813,-99.183851,363 HOLBEIN-PAULO UCELLO,0901400010562,3293,-1.298516052389030,Muy bajo
392,19.3730067,-99.1747749,392 PATRICIO SANZ-FELIX CUEVAS,0901400010736,5019,-1.171559763519740,Muy bajo
393,19.372796,-99.172558,393 ADOLFO PRIETO-FELIX CUEVAS,0901400010736,5019,-1.171559763519740,Muy bajo
394,19.372437,-99.171592,394 DR. ROBERTO GAYOL-FELIX CUEVAS,0901400010736,5019,-1.171559763519740,Muy bajo
395,19.373742,-99.169814,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,0901400010736,5019,-1.171559763519740,Muy bajo
413,19.369782,-99.171906,413 PARROQUIA-AVENIDA COYOACÁN,0901400010736,5019,-1.171559763519740,Muy bajo
397,19.373194,-99.167247,397 SAN LORENZO-GABRIEL MANCERA,0901400010755,5165,-1.222597614413540,Muy bajo
398,19.37103,-99.16566,398 SANCHEZ AZCONA-FELIX CUEVAS,0901400010755,5165,-1.222597614413540,Muy bajo
399,19.372407,-99.164519,399 HERIBERTO FRÍAS-SAN LORENZO,0901400010755,5165,-1.222597614413540,Muy bajo
400,19.3726458,-99.1642743,400 SAN LORENZO-HERIBERTO FRIAS,0901400010755,5165,-1.222597614413540,Muy bajo
358,19.380168,-99.164222,358 NICOLAS SAN JUAN-MATIAS ROMERO ,0901400010613,4894,-1.227715273272460,Muy bajo
359,19.379269,-99.161169,359 MATIAS ROMERO -PESTALLOZZI,0901400010613,4894,-1.227715273272460,Muy bajo
360,19.3790279,-99.1628259,E360 HERIBERTO FRÍAS-MATIAS ROMERO,0901400010613,4894,-1.227715273272460,Muy bajo
374,19.376964,-99.161116,374 PITÁGORAS-PILARES,0901400010613,4894,-1.227715273272460,Muy bajo
377,19.375394,-99.16375,377 HERIBERTO FRÍAS-MIGUEL LAURENT,0901400010613,4894,-1.227715273272460,Muy bajo
163,19.405246,-99.156431,163 TOLUCA-BAJÍO,0901500011479,2583,-0.979657309262587,Muy bajo
371,19.378542,-99.174328,371 TLACOQUEMECATL-CAPULIN,0901400010721,4042,-1.193690880979430,Muy bajo
380,19.374876,-99.173512,380 MORAS-SAN LORENZO,0901400010721,4042,-1.193690880979430,Muy bajo
36,19.419725,-99.175778,36 PUEBLA-VERACRUZ,0901500011089,2303,-0.924967852378493,Bajo
37,19.420419,-99.172676,37 GUADALAJARA-PUEBLA,0901500011089,2303,-0.924967852378493,Bajo
38,19.420801,-99.171407,38 COZUMEL-PUEBLA,0901500011089,2303,-0.924967852378493,Bajo
449,19.42018,-99.174393,E449 ACAPULCO-PUEBLA,0901500011089,2303,-0.924967852378493,Bajo
401,19.372147,-99.16158,401 SAN LORENZO-AVENIDA CUAUHTEMOC,090140001083A,2850,-1.172439390654050,Muy bajo
406,19.367831,-99.163261,406 PARROQUIA AV. MEXICO-COYOACAN,090140001083A,2850,-1.172439390654050,Muy bajo
