CVE_AGEB,text
5, MIER Y PESADO-OBRERO MUNDIAL
5, LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA
5, MIER Y PESADO-EJE 4 SUR XOLA
5, NICOLÁS SAN JUAN-EJE 4 SUR XOLA
11, AMPLIACIÓN TONALÁ-OBRERO MUNDIAL
11, ANAXÁGORAS-OBRERO MUNDIAL
37, AUGUSTO RODIN-AVENIDA SAN ANTONIO
45, LA MORENA-PROVIDENCIA
45, AV. COYOACÁN-RAFAEL DONDE
49, LUIS DONALDO COLOSIO-ALDAMA
49, AV. JESÚS GARCIA-CARLOS J. MENESES
49, HÉROES FERROCARRILEROS-AV. CENTRAL
49, AV. CENTRAL-J. MENESES
49, LUIS DONALDO COLOSIO-AV.JESÚS GARCÍA
49, HÉROES FERROCARRILEROS-JESÚS GARCIA
49, AV. JESÜS GARCÏA-CARLOS J. MENESES
49, HÉROES FERROCARRILEROS-AV. INSURGENTES NORTE
49, LUIS DONALDO COLOSIO-AV INSURGENTES NORTE
49, AV. JESÜS GARCÏA-LUIS DONALDO COLOSIO
49, LUIS DONALDO COLOSIO-AV. CENTRAL
64,E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN
64, ANAXÁGORAS-EJE 4 SUR XOLA
64, PITÁGORAS-LA MORENA
64, ANAXÁGORAS-OBRERO MUNDIAL
64, DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN
68, WALLON-PRESIDENTE MASARYK
68, TASSO-HOMERO
68, EULER-AV. HORACIO
68, DARWIN-MARIANO ESCOBEDO
68, RINCON DEL BOSQUE-RUBEN DARÍO
68, DANTE-TOLSTOI
70, TÓMAS ALVA EDISON-PONCIANO ARRIAGA
75, JULIO VERNE-LUIS G. URBINA
75, EDGAR ALAN POE-DICKENS
75, EMILIO CASTELAR-PRESIDENTE MASARYK
76, UXMAL-MUNICIPIO LIBRE
76, PITÁGORAS-AV. UNIVERSIDAD
76, TENAYUCA-DIVISIÓN DEL NORTE
83, AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE
83, PARROQUIA AV. MEXICO-COYOACAN
83, SAN LORENZO-AVENIDA CUAUHTEMOC
88, ECHEVESTE-BOLIVAR
95, LIVERPOOL-GENOVA
95,E33 LONDRES-FLORENCIA
