CVE_AGEB,text
5," MIER Y PESADO-OBRERO MUNDIAL, LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA, MIER Y PESADO-EJE 4 SUR XOLA, NICOLÁS SAN JUAN-EJE 4 SUR XOLA"
11," AMPLIACIÓN TONALÁ-OBRERO MUNDIAL, ANAXÁGORAS-OBRERO MUNDIAL"
37, AUGUSTO RODIN-AVENIDA SAN ANTONIO
45," LA MORENA-PROVIDENCIA, AV. COYOACÁN-RAFAEL DONDE"
49," LUIS DONALDO COLOSIO-ALDAMA, AV. JESÚS GARCIA-CARLOS J. MENESES, HÉROES FERROCARRILEROS-AV. CENTRAL, AV. CENTRAL-J. MENESES, LUIS DONALDO COLOSIO-AV.JESÚS GARCÍA, HÉROES FERROCARRILEROS-JESÚS GARCIA, AV. JESÜS GARCÏA-CARLOS J. MENESES, HÉROES FERROCARRILEROS-AV. INSURGENTES NORTE, LUIS DONALDO COLOSIO-AV INSURGENTES NORTE, AV. JESÜS GARCÏA-LUIS DONALDO COLOSIO, LUIS DONALDO COLOSIO-AV. CENTRAL"
64,"E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN, ANAXÁGORAS-EJE 4 SUR XOLA, PITÁGORAS-LA MORENA, ANAXÁGORAS-OBRERO MUNDIAL, DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN"
68," WALLON-PRESIDENTE MASARYK, TASSO-HOMERO, EULER-AV. HORACIO, DARWIN-MARIANO ESCOBEDO, RINCON DEL BOSQUE-RUBEN DARÍO, DANTE-TOLSTOI"
70, TÓMAS ALVA EDISON-PONCIANO ARRIAGA
75," JULIO VERNE-LUIS G. URBINA, EDGAR ALAN POE-DICKENS, EMILIO CASTELAR-PRESIDENTE MASARYK"
76," UXMAL-MUNICIPIO LIBRE, PITÁGORAS-AV. UNIVERSIDAD, TENAYUCA-DIVISIÓN DEL NORTE"
83," AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE, PARROQUIA AV. MEXICO-COYOACAN, SAN LORENZO-AVENIDA CUAUHTEMOC"
88, ECHEVESTE-BOLIVAR
95," LIVERPOOL-GENOVA,E33 LONDRES-FLORENCIA"
118," GENERAL SALVADOR ALVARADO-PROGRESO, COMERCIO-PROGRESO, PROGRESO-CDA. ANTONIO MACEO, COMERCIO-JOSE MARTÍ, GENERAL FRANCISCO MURGUIA-JOSE MARTÍ, PROSPERIDAD-PROGRESO"
120," SONORA-AMSTERDAM, POPOCATEPETL-AMSTERDAM, ALVARO OBREGON-MEDELLIN"
138,"E155 JALAPA-TLAXCALA, HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC, HUATABAMPO-EJE 1PTE. CUAUHTÉMOC"
145," QUINTANA ROO-MANZANILLO, BAJÍO-TLACOTALPAN"
187," AVENIDA 2-CALLE , 11 DE ABRIL-AVENIDA , CALLE 1-AV. PATRIOTISMO, CALLE 5-AVENIDA REVOLUCIÓN, AVENIDA 1-CALLE "
191," PENNSYLVANIA-OKLAHOMA, GEORGIA -CAROLINA"
204," MINESOTA-DAKOTA, CHICAGO-YOSEMITE, AVENIDA DEL PARQUE-ARIZONA, DAKOTA-FILADELFIA"
219," PENNSYLVANIA-ARIZONA, NUERVA YORK-LOUISIANA, NUEVA YORK-ARIZONA, YOSEMITE-COLORADO, DAKOTA-VERMONT, MONTESITO-AV. INSURGENTES, MONTESITO-DAKOTA"
223," LUZ SAVIÑON-MAGDALENA, SAN FRANCISCO-SANTA MARGARITA, MAGDALENA-AMEYALCO, MAGDALENA-DIVISIÓN DEL NORTE"
238," AVENIDA COYOACÁN-TORRES ADALID, CONCEPCIÓN BEISTEGUI-GABRIEL MANCERA, LUZ SAVIÑÓN-MAGDALENA,E300 PROVIDENCIA -LUZ SAVIÑON, SAN FRANCISCO-CONCEPCIÓN BEISTEGUI"
242," ROMERO DE TERREROS-MIER Y PESADO, ADOLFO PRIETO-EJE 4 SUR XOLA, LUZ SAVIÑÓN-AMORES"
257," TORRES ADALID-ANAXÁGORAS, ROMERO DE TERREROS-GABRIEL MANCERA, HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI, ENRIQUE RÉBSAMEN-LUZ SAVIÑON,E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN, DIAGONAL SAN ANTONIO-LUZ SAVIÑON"
350," AVENIDA 2-CALLE , CALLE 15-AVENIDA PATRIOTISMO, CALLE 13-AVENIDA "
